YYYY-MM-DD	HHMM (LST)	Time	Value		ETR (Whm^2)
1132010	300	290	0		
1132010	400	291	0		
1132010	500	292	0		
1132010	600	293	0		
1132010	700	294	0		
1132010	800	295	49		
1132010	900	296	259		
1132010	1000	297	450		
1132010	1100	298	589		
1132010	1200	299	665		
1132010	1300	300	674		
1132010	1400	301	614		
1132010	1500	302	490		
1132010	1600	303	311		
1132010	1700	304	93		
1132010	1800	305	0		
1132010	1900	306	0		
1132010	2000	307	0		
1132010	2100	308	0		
1132010	2200	309	0		
1132010	2300	310	0		
1132010	240000	311	0		
1142010	100	312	0		
1142010	200	313	0		
1142010	300	314	0		
1142010	400	315	0		
1142010	500	316	0		
1142010	600	317	0		
1142010	700	318	0		
1142010	800	319	50		
1142010	900	320	261		
1142010	1000	321	453		
1142010	1100	322	592		
1142010	1200	323	668		
1142010	1300	324	678		
1142010	1400	325	618		
1142010	1500	326	495		
1142010	1600	327	316		
1142010	1700	328	97		
1142010	1800	329	0		
1142010	1900	330	0		
1142010	2000	331	0		
1142010	2100	332	0		
1142010	2200	333	0		
1142010	2300	334	0		
1142010	240000	335	0		
1152010	100	336	0		
1152010	200	337	0		
1152010	300	338	0		
1152010	400	339	0		
1152010	500	340	0		
1152010	600	341	0		
1152010	700	342	0		
1152010	800	343	51		
1152010	900	344	263		
1152010	1000	345	455		
1152010	1100	346	595		
1152010	1200	347	672		
1152010	1300	348	682		
1152010	1400	349	623		
1152010	1500	350	499		
1152010	1600	351	320		
1152010	1700	352	102		
1152010	1800	353	0		
1152010	1900	354	0		
1152010	2000	355	0		
1152010	2100	356	0		
1152010	2200	357	0		
1152010	2300	358	0		
1152010	240000	359	0		
1162010	100	360	0		
1162010	200	361	0		
1162010	300	362	0		
1162010	400	363	0		
1162010	500	364	0		
1162010	600	365	0		
1162010	700	366	0		
1162010	800	367	52		
1162010	900	368	265		
1162010	1000	369	458		
1162010	1100	370	598		
1162010	1200	371	676		
1162010	1300	372	686		
1162010	1400	373	627		
1162010	1500	374	504		
1162010	1600	375	325		
1162010	1700	376	106		
1162010	1800	377	0		
1162010	1900	378	0		
1162010	2000	379	0		
1162010	2100	380	0		
1162010	2200	381	0		
1162010	2300	382	0		
1162010	240000	383	0		
1172010	100	384	0		
1172010	200	385	0		
1172010	300	386	0		
1172010	400	387	0		
1172010	500	388	0		
1172010	600	389	0		
1172010	700	390	0		
1172010	800	391	53		
1172010	900	392	268		
1172010	1000	393	461		
1172010	1100	394	601		
1172010	1200	395	680		
1172010	1300	396	690		
1172010	1400	397	632		
1172010	1500	398	509		
1172010	1600	399	330		
1172010	1700	400	110		
1172010	1800	401	0		
1172010	1900	402	0		
1172010	2000	403	0		
1172010	2100	404	0		
1172010	2200	405	0		
1172010	2300	406	0		
1172010	240000	407	0		
1182010	100	408	0		
1182010	200	409	0		
1182010	300	410	0		
1182010	400	411	0		
1182010	500	412	0		
1182010	600	413	0		
1182010	700	414	0		
1182010	800	415	55		
1182010	900	416	270		
1182010	1000	417	464		
1182010	1100	418	605		
1182010	1200	419	684		
1182010	1300	420	694		
1182010	1400	421	636		
1182010	1500	422	514		
1182010	1600	423	335		
1182010	1700	424	115		
1182010	1800	425	0		
1182010	1900	426	0		
1182010	2000	427	0		
1182010	2100	428	0		
1182010	2200	429	0		
1182010	2300	430	0		
1182010	240000	431	0		
1192010	100	432	0		
1192010	200	433	0		
1192010	300	434	0		
1192010	400	435	0		
1192010	500	436	0		
1192010	600	437	0		
1192010	700	438	0		
1192010	800	439	56		
1192010	900	440	273		
1192010	1000	441	467		
1192010	1100	442	609		
1192010	1200	443	688		
1192010	1300	444	699		
1192010	1400	445	641		
1192010	1500	446	519		
1192010	1600	447	340		
1192010	1700	448	120		
1192010	1800	449	0		
1192010	1900	450	0		
1192010	2000	451	0		
1192010	2100	452	0		
1192010	2200	453	0		
1192010	2300	454	0		
1192010	240000	455	0		
1202010	100	456	0		
1202010	200	457	0		
1202010	300	458	0		
1202010	400	459	0		
1202010	500	460	0		
1202010	600	461	0		
1202010	700	462	0		
1202010	800	463	58		
1202010	900	464	276		
1202010	1000	465	470		
1202010	1100	466	613		
1202010	1200	467	692		
1202010	1300	468	703		
1202010	1400	469	646		
1202010	1500	470	524		
1202010	1600	471	345		
1202010	1700	472	124		
1202010	1800	473	0		
1202010	1900	474	0		
1202010	2000	475	0		
1202010	2100	476	0		
1202010	2200	477	0		
1202010	2300	478	0		
1202010	240000	479	0		
1212010	100	480	0		
1212010	200	481	0		
1212010	300	482	0		
1212010	400	483	0		
1212010	500	484	0		
1212010	600	485	0		
1212010	700	486	0		
1212010	800	487	60		
1212010	900	488	279		
1212010	1000	489	474		
1212010	1100	490	616		
1212010	1200	491	696		
1212010	1300	492	708		
1212010	1400	493	651		
1212010	1500	494	529		
1212010	1600	495	350		
1212010	1700	496	129		
1212010	1800	497	0		
1212010	1900	498	0		
1212010	2000	499	0		
1212010	2100	500	0		
1212010	2200	501	0		
1212010	2300	502	0		
1212010	240000	503	0		
1222010	100	504	0		
1222010	200	505	0		
1222010	300	506	0		
1222010	400	507	0		
1222010	500	508	0		
1222010	600	509	0		
1222010	700	510	0		
1222010	800	511	62		
1222010	900	512	282		
1222010	1000	513	478		
1222010	1100	514	621		
1222010	1200	515	701		
1222010	1300	516	713		
1222010	1400	517	656		
1222010	1500	518	534		
1222010	1600	519	355		
1222010	1700	520	134		
1222010	1800	521	1		
1222010	1900	522	0		
1222010	2000	523	0		
1222010	2100	524	0		
1222010	2200	525	0		
1222010	2300	526	0		
1222010	240000	527	0		
1232010	100	528	0		
1232010	200	529	0		
1232010	300	530	0		
1232010	400	531	0		
1232010	500	532	0		
1232010	600	533	0		
1232010	700	534	0		
1232010	800	535	64		
1232010	900	536	285		
1232010	1000	537	481		
1232010	1100	538	625		
1232010	1200	539	705		
1232010	1300	540	718		
1232010	1400	541	661		
1232010	1500	542	539		
1232010	1600	543	360		
1232010	1700	544	139		
1232010	1800	545	1		
1232010	1900	546	0		
1232010	2000	547	0		
1232010	2100	548	0		
1232010	2200	549	0		
1232010	2300	550	0		
1232010	240000	551	0		
1242010	100	552	0		
1242010	200	553	0		
1242010	300	554	0		
1242010	400	555	0		
1242010	500	556	0		
1242010	600	557	0		
1242010	700	558	0		
1242010	800	559	66		
1242010	900	560	289		
1242010	1000	561	485		
1242010	1100	562	629		
1242010	1200	563	710		
1242010	1300	564	723		
1242010	1400	565	666		
1242010	1500	566	544		
1242010	1600	567	366		
1242010	1700	568	144		
1242010	1800	569	2		
1242010	1900	570	0		
1242010	2000	571	0		
1242010	2100	572	0		
1242010	2200	573	0		
1242010	2300	574	0		
1242010	240000	575	0		
1252010	100	576	0		
1252010	200	577	0		
1252010	300	578	0		
1252010	400	579	0		
1252010	500	580	0		
1252010	600	581	0		
1252010	700	582	0		
1252010	800	583	68		
1252010	900	584	292		
1252010	1000	585	489		
1252010	1100	586	634		
1252010	1200	587	715		
1252010	1300	588	728		
1252010	1400	589	672		
1252010	1500	590	550		
1252010	1600	591	371		
1252010	1700	592	149		
1252010	1800	593	2		
1252010	1900	594	0		
1252010	2000	595	0		
1252010	2100	596	0		
1252010	2200	597	0		
1252010	2300	598	0		
1252010	240000	599	0		
1262010	100	600	0		
1262010	200	601	0		
1262010	300	602	0		
1262010	400	603	0		
1262010	500	604	0		
1262010	600	605	0		
1262010	700	606	0		
1262010	800	607	71		
1262010	900	608	296		
1262010	1000	609	493		
1262010	1100	610	638		
1262010	1200	611	720		
1262010	1300	612	733		
1262010	1400	613	677		
1262010	1500	614	555		
1262010	1600	615	376		
1262010	1700	616	154		
1262010	1800	617	3		
1262010	1900	618	0		
1262010	2000	619	0		
1262010	2100	620	0		
1262010	2200	621	0		
1262010	2300	622	0		
1262010	240000	623	0		
1272010	100	624	0		
1272010	200	625	0		
1272010	300	626	0		
1272010	400	627	0		
1272010	500	628	0		
1272010	600	629	0		
1272010	700	630	0		
1272010	800	631	73		
1272010	900	632	300		
1272010	1000	633	498		
1272010	1100	634	643		
1272010	1200	635	725		
1272010	1300	636	738		
1272010	1400	637	682		
1272010	1500	638	561		
1272010	1600	639	382		
1272010	1700	640	159		
1272010	1800	641	4		
1272010	1900	642	0		
1272010	2000	643	0		
1272010	2100	644	0		
1272010	2200	645	0		
1272010	2300	646	0		
1272010	240000	647	0		
1282010	100	648	0		
1282010	200	649	0		
1282010	300	650	0		
1282010	400	651	0		
1282010	500	652	0		
1282010	600	653	0		
1282010	700	654	0		
1282010	800	655	76		
1282010	900	656	304		
1282010	1000	657	502		
1282010	1100	658	648		
1282010	1200	659	730		
1282010	1300	660	744		
1282010	1400	661	688		
1282010	1500	662	566		
1282010	1600	663	387		
1282010	1700	664	165		
1282010	1800	665	4		
1282010	1900	666	0		
1282010	2000	667	0		
1282010	2100	668	0		
1282010	2200	669	0		
1282010	2300	670	0		
1282010	240000	671	0		
1292010	100	672	0		
1292010	200	673	0		
1292010	300	674	0		
1292010	400	675	0		
1292010	500	676	0		
1292010	600	677	0		
1292010	700	678	0		
1292010	800	679	79		
1292010	900	680	308		
1292010	1000	681	507		
1292010	1100	682	653		
1292010	1200	683	735		
1292010	1300	684	749		
1292010	1400	685	694		
1292010	1500	686	572		
1292010	1600	687	393		
1292010	1700	688	170		
1292010	1800	689	5		
1292010	1900	690	0		
1292010	2000	691	0		
1292010	2100	692	0		
1292010	2200	693	0		
1292010	2300	694	0		
1292010	240000	695	0		
1302010	100	696	0		
1302010	200	697	0		
1302010	300	698	0		
1302010	400	699	0		
1302010	500	700	0		
1302010	600	701	0		
1302010	700	702	0		
1302010	800	703	82		
1302010	900	704	312		
1302010	1000	705	511		
1302010	1100	706	658		
1302010	1200	707	741		
1302010	1300	708	755		
1302010	1400	709	699		
1302010	1500	710	578		
1302010	1600	711	398		
1302010	1700	712	175		
1302010	1800	713	6		
1302010	1900	714	0		
1302010	2000	715	0		
1302010	2100	716	0		
1302010	2200	717	0		
1302010	2300	718	0		
1302010	240000	719	0		
1312010	100	720	0		
1312010	200	721	0		
1312010	300	722	0		
1312010	400	723	0		
1312010	500	724	0		
1312010	600	725	0		
1312010	700	726	0		
1312010	800	727	85		
1312010	900	728	317		
1312010	1000	729	516		
1312010	1100	730	663		
1312010	1200	731	746		
1312010	1300	732	760		
1312010	1400	733	705		
1312010	1500	734	583		
1312010	1600	735	404		
1312010	1700	736	181		
1312010	1800	737	8		
1312010	1900	738	0		
1312010	2000	739	0		
1312010	2100	740	0		
1312010	2200	741	0		
1312010	2300	742	0		
1312010	240000	743	0		
212010	100	744	0		
212010	200	745	0		
212010	300	746	0		
212010	400	747	0		
212010	500	748	0		
212010	600	749	0		
212010	700	750	0		
212010	800	751	89		
212010	900	752	321		
212010	1000	753	521		
212010	1100	754	668		
212010	1200	755	751		
212010	1300	756	766		
212010	1400	757	711		
212010	1500	758	589		
212010	1600	759	410		
212010	1700	760	186		
212010	1800	761	9		
212010	1900	762	0		
212010	2000	763	0		
212010	2100	764	0		
212010	2200	765	0		
212010	2300	766	0		
212010	240000	767	0		
222010	100	768	0		
222010	200	769	0		
222010	300	770	0		
222010	400	771	0		
222010	500	772	0		
222010	600	773	0		
222010	700	774	0		
222010	800	775	92		
222010	900	776	326		
222010	1000	777	526		
222010	1100	778	673		
222010	1200	779	757		
222010	1300	780	772		
222010	1400	781	716		
222010	1500	782	595		
222010	1600	783	415		
222010	1700	784	191		
222010	1800	785	10		
222010	1900	786	0		
222010	2000	787	0		
222010	2100	788	0		
222010	2200	789	0		
222010	2300	790	0		
222010	240000	791	0		
232010	100	792	0		
232010	200	793	0		
232010	300	794	0		
232010	400	795	0		
232010	500	796	0		
232010	600	797	0		
232010	700	798	0		
232010	800	799	96		
232010	900	800	331		
232010	1000	801	531		
232010	1100	802	679		
232010	1200	803	763		
232010	1300	804	778		
232010	1400	805	722		
232010	1500	806	601		
232010	1600	807	421		
232010	1700	808	197		
232010	1800	809	12		
232010	1900	810	0		
232010	2000	811	0		
232010	2100	812	0		
232010	2200	813	0		
232010	2300	814	0		
232010	240000	815	0		
242010	100	816	0		
242010	200	817	0		
242010	300	818	0		
242010	400	819	0		
242010	500	820	0		
242010	600	821	0		
242010	700	822	0		
242010	800	823	100		
242010	900	824	336		
242010	1000	825	536		
242010	1100	826	684		
242010	1200	827	768		
242010	1300	828	783		
242010	1400	829	728		
242010	1500	830	606		
242010	1600	831	427		
242010	1700	832	202		
242010	1800	833	13		
242010	1900	834	0		
242010	2000	835	0		
242010	2100	836	0		
242010	2200	837	0		
242010	2300	838	0		
242010	240000	839	0		
252010	100	840	0		
252010	200	841	0		
252010	300	842	0		
252010	400	843	0		
252010	500	844	0		
252010	600	845	0		
252010	700	846	0		
252010	800	847	104		
252010	900	848	341		
252010	1000	849	542		
252010	1100	850	690		
252010	1200	851	774		
252010	1300	852	789		
252010	1400	853	734		
252010	1500	854	612		
252010	1600	855	432		
252010	1700	856	208		
252010	1800	857	15		
252010	1900	858	0		
252010	2000	859	0		
252010	2100	860	0		
252010	2200	861	0		
252010	2300	862	0		
252010	240000	863	0		
262010	100	864	0		
262010	200	865	0		
262010	300	866	0		
262010	400	867	0		
262010	500	868	0		
262010	600	869	0		
262010	700	870	0		
262010	800	871	108		
262010	900	872	346		
262010	1000	873	547		
262010	1100	874	695		
262010	1200	875	780		
262010	1300	876	795		
262010	1400	877	740		
262010	1500	878	618		
262010	1600	879	438		
262010	1700	880	213		
262010	1800	881	17		
262010	1900	882	0		
262010	2000	883	0		
262010	2100	884	0		
262010	2200	885	0		
262010	2300	886	0		
262010	240000	887	0		
272010	100	888	0		
272010	200	889	0		
272010	300	890	0		
272010	400	891	0		
272010	500	892	0		
272010	600	893	0		
272010	700	894	0		
272010	800	895	113		
272010	900	896	351		
272010	1000	897	553		
272010	1100	898	701		
272010	1200	899	786		
272010	1300	900	801		
272010	1400	901	746		
272010	1500	902	624		
272010	1600	903	444		
272010	1700	904	219		
272010	1800	905	19		
272010	1900	906	0		
272010	2000	907	0		
272010	2100	908	0		
272010	2200	909	0		
272010	2300	910	0		
272010	240000	911	0		
282010	100	912	0		
282010	200	913	0		
282010	300	914	0		
282010	400	915	0		
282010	500	916	0		
282010	600	917	0		
282010	700	918	0		
282010	800	919	118		
282010	900	920	356		
282010	1000	921	558		
282010	1100	922	707		
282010	1200	923	792		
282010	1300	924	807		
282010	1400	925	752		
282010	1500	926	630		
282010	1600	927	450		
282010	1700	928	224		
282010	1800	929	21		
282010	1900	930	0		
282010	2000	931	0		
282010	2100	932	0		
282010	2200	933	0		
282010	2300	934	0		
282010	240000	935	0		
292010	100	936	0		
292010	200	937	0		
292010	300	938	0		
292010	400	939	0		
292010	500	940	0		
292010	600	941	0		
292010	700	942	0		
292010	800	943	123		
292010	900	944	362		
292010	1000	945	564		
292010	1100	946	713		
292010	1200	947	798		
292010	1300	948	814		
292010	1400	949	758		
292010	1500	950	636		
292010	1600	951	456		
292010	1700	952	230		
292010	1800	953	23		
292010	1900	954	0		
292010	2000	955	0		
292010	2100	956	0		
292010	2200	957	0		
292010	2300	958	0		
292010	240000	959	0		
2102010	100	960	0		
2102010	200	961	0		
2102010	300	962	0		
2102010	400	963	0		
2102010	500	964	0		
2102010	600	965	0		
2102010	700	966	0		
2102010	800	967	128		
2102010	900	968	367		
2102010	1000	969	570		
2102010	1100	970	719		
2102010	1200	971	804		
2102010	1300	972	820		
2102010	1400	973	764		
2102010	1500	974	642		
2102010	1600	975	461		
2102010	1700	976	235		
2102010	1800	977	25		
2102010	1900	978	0		
2102010	2000	979	0		
2102010	2100	980	0		
2102010	2200	981	0		
2102010	2300	982	0		
2102010	240000	983	0		
2112010	100	984	0		
2112010	200	985	0		
2112010	300	986	0		
2112010	400	987	0		
2112010	500	988	0		
2112010	600	989	0		
2112010	700	990	0		
2112010	800	991	133		
2112010	900	992	373		
2112010	1000	993	576		
2112010	1100	994	725		
2112010	1200	995	810		
2112010	1300	996	826		
2112010	1400	997	771		
2112010	1500	998	648		
2112010	1600	999	467		
2112010	1700	1000	241		
2112010	1800	1001	27		
2112010	1900	1002	0		
2112010	2000	1003	0		
2112010	2100	1004	0		
2112010	2200	1005	0		
2112010	2300	1006	0		
2112010	240000	1007	0		
2122010	100	1008	0		
2122010	200	1009	0		
2122010	300	1010	0		
2122010	400	1011	0		
2122010	500	1012	0		
2122010	600	1013	0		
2122010	700	1014	0		
2122010	800	1015	138		
2122010	900	1016	379		
2122010	1000	1017	582		
2122010	1100	1018	731		
2122010	1200	1019	817		
2122010	1300	1020	832		
2122010	1400	1021	777		
2122010	1500	1022	654		
2122010	1600	1023	473		
2122010	1700	1024	246		
2122010	1800	1025	30		
2122010	1900	1026	0		
2122010	2000	1027	0		
2122010	2100	1028	0		
2122010	2200	1029	0		
2122010	2300	1030	0		
2122010	240000	1031	0		
2132010	100	1032	0		
2132010	200	1033	0		
2132010	300	1034	0		
2132010	400	1035	0		
2132010	500	1036	0		
2132010	600	1037	0		
2132010	700	1038	1		
2132010	800	1039	144		
2132010	900	1040	385		
2132010	1000	1041	588		
2132010	1100	1042	737		
2132010	1200	1043	823		
2132010	1300	1044	838		
2132010	1400	1045	783		
2132010	1500	1046	660		
2132010	1600	1047	479		
2132010	1700	1048	252		
2132010	1800	1049	32		
2132010	1900	1050	0		
2132010	2000	1051	0		
2132010	2100	1052	0		
2132010	2200	1053	0		
2132010	2300	1054	0		
2132010	240000	1055	0		
2142010	100	1056	0		
2142010	200	1057	0		
2142010	300	1058	0		
2142010	400	1059	0		
2142010	500	1060	0		
2142010	600	1061	0		
2142010	700	1062	1		
2142010	800	1063	149		
2142010	900	1064	391		
2142010	1000	1065	594		
2142010	1100	1066	744		
2142010	1200	1067	829		
2142010	1300	1068	845		
2142010	1400	1069	789		
2142010	1500	1070	666		
2142010	1600	1071	485		
2142010	1700	1072	257		
2142010	1800	1073	35		
2142010	1900	1074	0		
2142010	2000	1075	0		
2142010	2100	1076	0		
